Profile: Function timing, sorted by time
Date:    Mon Aug 24 09:50:08 1998


Program Statistics
------------------
    Command line at 1998 Aug 24 09:40: "F:\ZHANGYU\wcol\Debug\Wcol" 
    Total time: 523087.384 millisecond
    Time outside of functions: 503450.294 millisecond
    Call depth: 3
    Total functions: 126
    Total hits: 1480490
    Function coverage: 66.7%
    Overhead Calculated 9
    Overhead Average 9

Module Statistics for wcol.exe
------------------------------
    Time in module: 19637.090 millisecond
    Percent of time in module: 100.0%
    Functions in module: 126
    Hits in module: 1480490
    Module function coverage: 66.7%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       1.022   0.0        1.022   0.0       18 FILE_SCAN::FindLocalCost(class LOG_PROP *,class LOG_PROP * *) (physop.obj)
       1.012   0.0        1.012   0.0     1406 CM::index_probe(void) (physop.obj)
       0.833   0.0        0.833   0.0        9 FILE_SCAN::FindPhysProp(class PHYS_PROP * *) (physop.obj)
       0.817   0.0        0.817   0.0     2797 SCHEMA::GetTableNum(void) (physop.obj)
       0.745   0.0        1.205   0.0       35 FILE_SCAN::`scalar deleting destructor'(unsigned int) (physop.obj)
       0.745   0.0        1.205   0.0       35 FILE_SCAN::`vector deleting destructor'(unsigned int) (physop.obj)
       0.699   0.0        0.699   0.0      900 CM::cpu_comp_move(void) (physop.obj)
       0.544   0.0        0.544   0.0        1 P_PROJECT::GetName(void) (physop.obj)
       0.539   0.0        0.899   0.0       25 FILE_SCAN::Clone(void) (physop.obj)
       0.530   0.0        1.079   0.0        1 P_PROJECT::P_PROJECT(int *,int) (physop.obj)
       0.486   0.0        0.486   0.0       12 FILE_SCAN::GetName(void) (physop.obj)
       0.282   0.0        0.360   0.0       25 FILE_SCAN::FILE_SCAN(class FILE_SCAN &) (physop.obj)
       0.187   0.0        0.244   0.0        1 FILE_SCAN::Dump(void) (physop.obj)
       0.142   0.0        0.142   0.0     2830 CM::io(void) (physop.obj)
       0.135   0.0        0.460   0.0       35 FILE_SCAN::~FILE_SCAN(void) (physop.obj)
       0.073   0.0        0.105   0.0        1 INDEXED_FILTER::INDEXED_FILTER(int) (physop.obj)
       0.033   0.0        0.033   0.0        1 BIT_JOIN::GetName(void) (physop.obj)
       0.030   0.0        0.030   0.0        1 INDEXED_FILTER::GetName(void) (physop.obj)
       0.020   0.0        0.057   0.0        1 BIT_JOIN::`scalar deleting destructor'(unsigned int) (physop.obj)
       0.020   0.0        0.057   0.0        1 BIT_JOIN::`vector deleting destructor'(unsigned int) (physop.obj)
       0.020   0.0        0.053   0.0        1 P_PROJECT::`scalar deleting destructor'(unsigned int) (physop.obj)
       0.020   0.0        0.053   0.0        1 P_PROJECT::`vector deleting destructor'(unsigned int) (physop.obj)
       0.018   0.0        0.045   0.0        1 INDEXED_FILTER::`scalar deleting destructor'(unsigned int) (physop.obj)
       0.018   0.0        0.045   0.0        1 INDEXED_FILTER::`vector deleting destructor'(unsigned int) (physop.obj)
       0.014   0.0        0.051   0.0        1 BIT_JOIN::BIT_JOIN(int *,int *,int,int) (physop.obj)
       0.013   0.0        0.037   0.0        1 BIT_JOIN::~BIT_JOIN(void) (physop.obj)
       0.009   0.0        0.033   0.0        1 P_PROJECT::~P_PROJECT(void) (physop.obj)
       0.005   0.0        0.028   0.0        1 INDEXED_FILTER::~INDEXED_FILTER(void) (physop.obj)
       0.000   0.0        0.000   0.0       69 FILE_SCAN::GetArity(void) (physop.obj)
       0.000   0.0        0.000   0.0       25 FILE_SCAN::GetFileId(void) (physop.obj)
