Profile: Function timing, sorted by time
Date:    Mon Aug 24 09:37:56 1998


Program Statistics
------------------
    Command line at 1998 Aug 24 09:27: "F:\ZHANGYU\wcol\Debug\Wcol" 
    Total time: 502099.576 millisecond
    Time outside of functions: 485570.321 millisecond
    Call depth: 4
    Total functions: 138
    Total hits: 3911511
    Function coverage: 51.4%
    Overhead Calculated 9
    Overhead Average 9

Module Statistics for wcol.exe
------------------------------
    Time in module: 16529.255 millisecond
    Percent of time in module: 100.0%
    Functions in module: 138
    Hits in module: 3911511
    Module function coverage: 51.4%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       0.017   0.0        0.041   0.0        1 RM_DUPLICATES::`scalar deleting destructor'(unsigned int) (logop.obj)
       0.017   0.0        0.041   0.0        1 RM_DUPLICATES::`vector deleting destructor'(unsigned int) (logop.obj)
       0.003   0.0        0.086   0.0        3 SELECT::~SELECT(void) (logop.obj)
       0.002   0.0        0.024   0.0        1 RM_DUPLICATES::~RM_DUPLICATES(void) (logop.obj)
       0.000   0.0        0.000   0.0    37338 AGG_LIST::GetNameId(void) (logop.obj)
       0.000   0.0        0.000   0.0   963259 EQJOIN::GetArity(void) (logop.obj)
       0.000   0.0        0.000   0.0   471228 EQJOIN::GetNameId(void) (logop.obj)
       0.000   0.0        0.000   0.0   217293 GET::GetArity(void) (logop.obj)
       0.000   0.0        0.000   0.0   907174 LOG_OP::is_logical(void) (logop.obj)
       0.000   0.0        0.000   0.0    16830 SCHEMA::operator[](int) (logop.obj)
